,snapshot_count,update_count,total_count
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1743436790407-1743537950600.parquet,15,999985,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1743537950700-1743671559505.parquet,14,999986,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1743671559605-1743772112206.parquet,15,999985,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1743772112306-1743908302903.parquet,15,999985,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1743908303003-1744009469306.parquet,14,999986,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744009469406-1744109915504.parquet,14,999986,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744109915604-1744210254701.parquet,13,999987,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744210254801-1744310813203.parquet,11,999989,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744310813303-1744452436103.parquet,13,999987,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744452436203-1744553762809.parquet,10,999990,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744553762909-1744654430003.parquet,16,999984,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744654430103-1744756218104.parquet,6,999994,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744756218204-1744857928606.parquet,12,999988,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744857928706-1744960346406.parquet,3,999997,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1744960346506-1745065370002.parquet,5,999995,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1745065370102-1745170091202.parquet,0,1000000,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1745170091302-1745272652108.parquet,3,999997,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1745272652208-1745373769708.parquet,3,999997,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1745373769808-1745475932704.parquet,7,999993,1000000
E:\tmp\OKX-Books-BTC-USDT-400\OKX-Books-BTC-USDT-400-1745475932804-1745578885205.parquet,10,999990,1000000
