Filepath                                                                  , Overlap Count, Average Overlapping Items
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740585318109-1740585818009.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740585818109-1740586318507.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740586318607-1740586818508.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740586818608-1740587318503.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740587318603-1740587818503.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740587818603-1740588318506.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740588318606-1740588818706.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740588818806-1740589318707.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740589318807-1740589819302.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740589819402-1740590319802.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740590319902-1740590820002.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740590820102-1740591320002.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740591320102-1740591820102.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740591820202-1740592320102.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740592320202-1740592820102.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740592820202-1740593320504.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740593320604-1740593820504.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740593820604-1740594320504.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740594320604-1740594820604.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740594820704-1740595320607.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740595320707-1740595820607.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740595820707-1740596320607.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740596320707-1740596821203.json,             1,                       2.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740596821003-1740597321003.json,             1,                       2.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740597321103-1740597821003.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740597821103-1740598321003.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740598321103-1740598821003.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740598821103-1740599321003.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740599321103-1740599821003.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740599821103-1740600321004.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740600321104-1740600821501.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740600821601-1740601321501.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740601321601-1740601821501.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740601821601-1740602321501.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740602321601-1740602821501.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740602821601-1740603321501.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740603321601-1740603821701.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740603821801-1740604322301.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740604322401-1740604822701.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740604822801-1740605322701.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740605322801-1740605822702.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740605822802-1740606322902.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740606323002-1740606823002.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740606822902-1740607322902.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740607323002-1740607823305.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740607823405-1740608323305.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740608323405-1740608823605.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740608823705-1740609325505.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740609325605-1740609829105.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740609829205-1740610333305.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740610333405-1740610835205.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740610835305-1740611336101.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740611336201-1740611837601.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740611837701-1740612338101.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740612338001-1740612839301.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740612839401-1740613340401.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740613340301-1740613841101.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740613841201-1740614342702.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740614342802-1740614843802.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740614843702-1740615344002.json,             1,                       1.0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740615344102-1740615844102.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740615844202-1740616344202.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740616344302-1740616844202.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740616844302-1740617344302.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740617344402-1740617844802.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740617844902-1740618346001.json,             0,                       0
tmp/newElapsedTime\OKX-Books-BTC-USDT-400-1740618346101-1740618846301.json,             0,                       0
