arg,data,ts,ts_book,asks_0_price,asks_0_amount,asks_0_count,bids_0_price,bids_0_amount,bids_0_count,asks_1_price,asks_1_amount,asks_1_count,bids_1_price,bids_1_amount,bids_1_count,asks_2_price,asks_2_amount,asks_2_count,bids_2_price,bids_2_amount,bids_2_count,asks_3_price,asks_3_amount,asks_3_count,bids_3_price,bids_3_amount,bids_3_count,asks_4_price,asks_4_amount,asks_4_count,bids_4_price,bids_4_amount,bids_4_count,asks_5_price,asks_5_amount,asks_5_count,bids_5_price,bids_5_amount,bids_5_count,asks_6_price,asks_6_amount,asks_6_count,bids_6_price,bids_6_amount,bids_6_count,asks_7_price,asks_7_amount,asks_7_count,bids_7_price,bids_7_amount,bids_7_count,asks_8_price,asks_8_amount,asks_8_count,bids_8_price,bids_8_amount,bids_8_count,asks_9_price,asks_9_amount,asks_9_count,bids_9_price,bids_9_amount,bids_9_count,ts_diff
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84067.9', 'side': 'sell', 'sz': '0.17550287', 'tradeId': '680400660', 'ts': '1740758509560'}
 {'instId': 'BTC-USDT', 'px': '84065.2', 'side': 'sell', 'sz': '0.01449713', 'tradeId': '680400661', 'ts': '1740758509560'}]",1740758509560,1740758509503.0,84068.0,0.2538,3.0,84067.9,0.30856957,5.0,84068.2,0.00013676,1.0,84066.9,0.04721929,1.0,84069.4,0.0002379,1.0,84065.1,0.12499853,2.0,84069.9,0.02292359,1.0,84063.9,0.03842085,2.0,84070.0,0.0764,1.0,84062.0,0.01583269,1.0,84071.2,1.198e-05,1.0,84061.9,0.15495848,2.0,84071.9,0.02663914,1.0,84058.8,0.04748205,1.0,84072.0,0.07679957,2.0,84058.7,0.03597711,1.0,84072.2,2.016e-05,1.0,84057.9,0.03597711,1.0,84073.3,2.755e-05,2.0,84056.0,0.02843971,3.0,57.0
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84065.2', 'side': 'sell', 'sz': '0.000034', 'tradeId': '680400662', 'ts': '1740758509653'}]",1740758509653,1740758509603.0,84065.3,0.70353925,12.0,84065.2,0.19454785,2.0,84065.9,0.07994068,1.0,84065.1,0.00602174,1.0,84066.0,0.0764,1.0,84063.9,0.00244374,1.0,84067.9,0.00085941,1.0,84062.0,0.06723347,1.0,84068.0,0.11242289,2.0,84061.9,0.11898137,1.0,84068.2,0.00013676,1.0,84060.0,0.11898392,1.0,84069.4,0.0002379,1.0,84054.8,0.012,1.0,84070.0,0.0764,1.0,84053.7,6e-05,1.0,84071.2,1.198e-05,1.0,84053.2,0.01788933,1.0,84071.9,0.02663914,1.0,84053.1,0.02379876,1.0,50.0
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84065.2', 'side': 'sell', 'sz': '0.104006', 'tradeId': '680400665', 'ts': '1740758510036'}
 {'instId': 'BTC-USDT', 'px': '84063.9', 'side': 'sell', 'sz': '0.00244374', 'tradeId': '680400667', 'ts': '1740758510036'}
 {'instId': 'BTC-USDT', 'px': '84065.1', 'side': 'sell', 'sz': '0.00602174', 'tradeId': '680400666', 'ts': '1740758510036'}
 {'instId': 'BTC-USDT', 'px': '84062', 'side': 'sell', 'sz': '0.06723347', 'tradeId': '680400668', 'ts': '1740758510036'}
 {'instId': 'BTC-USDT', 'px': '84061.9', 'side': 'sell', 'sz': '0.11898137', 'tradeId': '680400669', 'ts': '1740758510036'}
 {'instId': 'BTC-USDT', 'px': '84060', 'side': 'sell', 'sz': '0.11898392', 'tradeId': '680400670', 'ts': '1740758510036'}]",1740758510036,1740758510003.0,84065.3,0.70353925,12.0,84065.2,0.104006,3.0,84065.9,0.07994068,1.0,84065.1,0.00602174,1.0,84066.0,0.0764,1.0,84063.9,0.00244374,1.0,84068.0,0.11253732,3.0,84062.0,0.06723347,1.0,84068.2,0.00013676,1.0,84061.9,0.11898137,1.0,84069.4,0.0002379,1.0,84060.0,0.11898392,1.0,84070.0,0.0764,1.0,84053.7,6e-05,1.0,84071.2,1.198e-05,1.0,84053.1,0.02379876,1.0,84071.9,0.02663914,1.0,84053.0,0.01077,1.0,84072.0,0.07679957,2.0,84052.6,0.001,1.0,33.0
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84053.8', 'side': 'buy', 'sz': '0.00107074', 'tradeId': '680400671', 'ts': '1740758510045'}]",1740758510045,1740758510003.0,84065.3,0.70353925,12.0,84065.2,0.104006,3.0,84065.9,0.07994068,1.0,84065.1,0.00602174,1.0,84066.0,0.0764,1.0,84063.9,0.00244374,1.0,84068.0,0.11253732,3.0,84062.0,0.06723347,1.0,84068.2,0.00013676,1.0,84061.9,0.11898137,1.0,84069.4,0.0002379,1.0,84060.0,0.11898392,1.0,84070.0,0.0764,1.0,84053.7,6e-05,1.0,84071.2,1.198e-05,1.0,84053.1,0.02379876,1.0,84071.9,0.02663914,1.0,84053.0,0.01077,1.0,84072.0,0.07679957,2.0,84052.6,0.001,1.0,42.0
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84053.8', 'side': 'buy', 'sz': '0.00107074', 'tradeId': '680400672', 'ts': '1740758510053'}]",1740758510053,1740758510003.0,84065.3,0.70353925,12.0,84065.2,0.104006,3.0,84065.9,0.07994068,1.0,84065.1,0.00602174,1.0,84066.0,0.0764,1.0,84063.9,0.00244374,1.0,84068.0,0.11253732,3.0,84062.0,0.06723347,1.0,84068.2,0.00013676,1.0,84061.9,0.11898137,1.0,84069.4,0.0002379,1.0,84060.0,0.11898392,1.0,84070.0,0.0764,1.0,84053.7,6e-05,1.0,84071.2,1.198e-05,1.0,84053.1,0.02379876,1.0,84071.9,0.02663914,1.0,84053.0,0.01077,1.0,84072.0,0.07679957,2.0,84052.6,0.001,1.0,50.0
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84060', 'side': 'buy', 'sz': '0.00011182', 'tradeId': '680400673', 'ts': '1740758510303'}]",1740758510303,1740758510303.0,84060.0,0.0764,1.0,84059.9,0.3983772,6.0,84062.0,0.0764,1.0,84058.0,0.01501001,1.0,84063.9,0.04764648,1.0,84057.9,0.03597711,1.0,84064.0,0.0764,1.0,84055.0,0.01077,1.0,84065.3,0.03602289,1.0,84054.9,0.00328624,1.0,84066.0,0.0764,1.0,84054.0,0.24861765,2.0,84066.9,0.00602161,1.0,84053.8,0.03597711,1.0,84067.9,0.05679719,1.0,84053.4,0.00361126,1.0,84068.0,0.11253732,3.0,84053.0,0.01077,1.0,84068.2,0.00013676,1.0,84051.9,0.35792539,1.0,0.0
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84066.9', 'side': 'buy', 'sz': '0.00602161', 'tradeId': '680400674', 'ts': '1740758510416'}]",1740758510416,1740758510403.0,84066.9,0.00602161,1.0,84063.9,0.12239763,3.0,84068.0,0.07651443,2.0,84063.4,0.1416,1.0,84068.2,0.00013676,1.0,84062.0,0.50936803,6.0,84069.4,0.0002379,1.0,84061.9,0.65409084,10.0,84070.0,0.0764,1.0,84059.9,0.08882011,3.0,84071.2,1.198e-05,1.0,84057.9,0.03597711,1.0,84072.0,0.07679957,2.0,84055.0,0.01077,1.0,84072.2,2.016e-05,1.0,84054.9,0.00328624,1.0,84073.3,2.755e-05,2.0,84054.2,0.21185888,3.0,84073.4,1.172e-05,1.0,84054.1,0.23790112,1.0,13.0
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84067.9', 'side': 'sell', 'sz': '0.00013', 'tradeId': '680400675', 'ts': '1740758510653'}]",1740758510653,1740758510603.0,84068.0,0.32139183,4.0,84067.9,0.22335707,5.0,84068.2,0.00013676,1.0,84067.0,0.02638627,1.0,84069.4,0.0002379,1.0,84066.8,0.03597711,1.0,84069.9,0.02292359,1.0,84065.1,0.00602167,1.0,84070.0,0.0764,1.0,84063.9,0.03597711,1.0,84071.2,1.198e-05,1.0,84062.0,0.04704823,2.0,84071.9,0.02663464,1.0,84061.9,0.08356711,2.0,84072.0,0.07679957,2.0,84059.9,0.08882011,3.0,84072.2,2.016e-05,1.0,84059.1,0.07059039,1.0,84073.3,2.755e-05,2.0,84058.0,0.01501001,1.0,50.0
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84068', 'side': 'buy', 'sz': '0.00011443', 'tradeId': '680400676', 'ts': '1740758511116'}
 {'instId': 'BTC-USDT', 'px': '84068.2', 'side': 'buy', 'sz': '0.00013676', 'tradeId': '680400677', 'ts': '1740758511116'}]",1740758511116,1740758511103.0,84068.0,0.00011443,1.0,84067.9,0.24623381,7.0,84068.2,0.00013676,1.0,84065.1,0.00602167,1.0,84069.4,0.0002379,1.0,84063.7,0.001,1.0,84071.2,1.198e-05,1.0,84063.4,0.26495419,2.0,84072.0,0.00039957,1.0,84063.3,0.09026623,1.0,84072.2,2.016e-05,1.0,84062.2,0.01582557,3.0,84073.3,2.755e-05,2.0,84062.0,0.58706467,2.0,84073.4,1.172e-05,1.0,84061.9,0.04759,1.0,84074.5,1.392e-05,1.0,84060.6,1.49339499,1.0,84075.3,1.197e-05,1.0,84060.5,0.35792539,1.0,13.0
"{'channel': 'trades', 'instId': 'BTC-USDT'}","[{'instId': 'BTC-USDT', 'px': '84069.4', 'side': 'buy', 'sz': '0.0002379', 'tradeId': '680400678', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84072', 'side': 'buy', 'sz': '0.00039957', 'tradeId': '680400680', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84071.2', 'side': 'buy', 'sz': '0.00001198', 'tradeId': '680400679', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84073.3', 'side': 'buy', 'sz': '0.00002755', 'tradeId': '680400683', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84072.2', 'side': 'buy', 'sz': '0.00002016', 'tradeId': '680400681', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84074.5', 'side': 'buy', 'sz': '0.00001392', 'tradeId': '680400685', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84073.4', 'side': 'buy', 'sz': '0.00001172', 'tradeId': '680400684', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84075.4', 'side': 'buy', 'sz': '0.01189723', 'tradeId': '680400687', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84075.3', 'side': 'buy', 'sz': '0.00001197', 'tradeId': '680400686', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84077', 'side': 'buy', 'sz': '0.00008', 'tradeId': '680400689', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84076.9', 'side': 'buy', 'sz': '0.00009125', 'tradeId': '680400688', 'ts': '1740758511117'}
 {'instId': 'BTC-USDT', 'px': '84077.1', 'side': 'buy', 'sz': '0.00328561', 'tradeId': '680400690', 'ts': '1740758511117'}]",1740758511117,1740758511103.0,84068.0,0.00011443,1.0,84067.9,0.24623381,7.0,84068.2,0.00013676,1.0,84065.1,0.00602167,1.0,84069.4,0.0002379,1.0,84063.7,0.001,1.0,84071.2,1.198e-05,1.0,84063.4,0.26495419,2.0,84072.0,0.00039957,1.0,84063.3,0.09026623,1.0,84072.2,2.016e-05,1.0,84062.2,0.01582557,3.0,84073.3,2.755e-05,2.0,84062.0,0.58706467,2.0,84073.4,1.172e-05,1.0,84061.9,0.04759,1.0,84074.5,1.392e-05,1.0,84060.6,1.49339499,1.0,84075.3,1.197e-05,1.0,84060.5,0.35792539,1.0,14.0
